Node	GO terms	Odds Ratio	KEGG terms	Odds Ratio
Node 5	GO-CC-0030313:cell envelope	13.281	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	7.965
Node 5	GO-CC-0030312:external encapsulating structure	13.281	KEGG-Pathway-pae00051: Fructose and mannose metabolism - Pseudomonas aeruginosa PAO1	5.723
Node 5	GO-BP-0034308:primary alcohol metabolic process	13.281	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	5.24
Node 5	GO-BP-0009628:response to abiotic stimulus	13.281	KEGG-Pathway-pae02060: Phosphotransferase system (PTS) - Pseudomonas aeruginosa PAO1	4.961
Node 5	GO-BP-0006067:ethanol metabolic process	13.281	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	4.961
Node 5	GO-CC-0071944:cell periphery	13.281	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4.961
Node 6	GO-BP-0007155:cell adhesion	24.503	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	18.496
Node 6	GO-BP-0022610:biological adhesion	18.374	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	18.435
Node 6	GO-BP-0043683:type IV pilus biogenesis	10.494	KEGG-Module-M00258: Putative ABC transport system	18.374
Node 6	GO-BP-0043107:type IV pilus-dependent motility	10.079	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	13.733
Node 6	GO-BP-0043711:pilus organization	9.18	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	12.167
Node 6	GO-BP-0009297:pilus assembly	9.18	KEGG-Pathway-pae00401: Novobiocin biosynthesis - Pseudomonas aeruginosa PAO1	12.167
Node 6	GO-BP-0030031:cell projection assembly	6.673	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	12.167
Node 6	GO-BP-0030030:cell projection organization	6.673	KEGG-Module-M00185: Sulfate transport system	12.167
Node 6	GO-BP-0022607:cellular component assembly	6.115	KEGG-Module-M00334: Type VI secretion system	9.507
Node 6	GO-CC-0005622:intracellular	6.08	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	9.238
Node 7	GO-BP-0072330:monocarboxylic acid biosynthetic process	19.683	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 7	GO-BP-0009057:macromolecule catabolic process	13.073	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	29.53
Node 7	GO-BP-0007165:signal transduction	9.836	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	29.53
Node 7	GO-BP-0023052:signaling	9.836	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	19.683
Node 7	GO-BP-0044700:single organism signaling	9.836	KEGG-Pathway-pae00364: Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1	14.759
Node 7	GO-BP-0044550:secondary metabolite biosynthetic process	8.051	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	7.848
Node 7	GO-MF-0016853:isomerase activity	7.841	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	6.553
Node 7	GO-BP-0000160:phosphorelay signal transduction system	7.841	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	5.256
Node 7	GO-BP-0019748:secondary metabolic process	7.739	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	4.883
Node 7	GO-BP-0007154:cell communication	7.173	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	4.883
Node 8	GO-BP-0034308:primary alcohol metabolic process	29.881	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 8	GO-BP-0006067:ethanol metabolic process	29.881	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	13.321
Node 8	GO-BP-1901615:organic hydroxy compound metabolic process	20.281	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	13.228
Node 8	GO-BP-0055114:oxidation-reduction process	19.989	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	9.919
Node 8	GO-BP-0072330:monocarboxylic acid biosynthetic process	19.917	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	9.919
Node 8	GO-BP-0032787:monocarboxylic acid metabolic process	14.324	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	8.825
Node 8	GO-BP-0009445:putrescine metabolic process	13.228	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis - Pseudomonas aeruginosa PAO1	8.616
Node 8	GO-BP-0035556:intracellular signal transduction	11.946	KEGG-Module-M00240: Iron complex transport system	8.529
Node 8	GO-MF-0016830:carbon-carbon lyase activity	9.953	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	8.348
Node 8	GO-BP-0006066:alcohol metabolic process	9.953	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	7.934
Node 9	GO-CC-0016020:membrane	67.83	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	13.357
Node 9	GO-CC-0031975:envelope	40.289	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	7.629
Node 9	GO-CC-0030313:cell envelope	40.289	KEGG-Module-M00190: Iron(III) transport system	6.646
Node 9	GO-CC-0030312:external encapsulating structure	40.289	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	5.315
Node 9	GO-CC-0071944:cell periphery	40.289	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	5.001
Node 9	GO-BP-0006527:arginine catabolic process	27.117	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	4.429
Node 9	GO-BP-0009065:glutamine family amino acid catabolic process	16.938	KEGG-Pathway-pae00340: Histidine metabolism - Pseudomonas aeruginosa PAO1	3.823
Node 9	GO-BP-0006525:arginine metabolic process	15.054	KEGG-Pathway-pae00312: beta-Lactam resistance - Pseudomonas aeruginosa PAO1	3.344
Node 9	GO-BP-0043711:pilus organization	13.482	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3.32
Node 9	GO-BP-0009297:pilus assembly	13.482	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1	2.961
Node 10	GO-BP-0046889:positive regulation of lipid biosynthetic process	27.885	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	74.638
Node 10	GO-BP-0045834:positive regulation of lipid metabolic process	27.885	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	18.712
Node 10	GO-BP-0046890:regulation of lipid biosynthetic process	13.937	KEGG-Module-M00237: Branched-chain amino acid transport system	15.59
Node 10	GO-BP-0006527:arginine catabolic process	12.428	KEGG-Module-M00208: Glycine betaine/proline transport system	4.626
Node 10	GO-BP-0006865:amino acid transport	12.428	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	4.613
Node 10	GO-BP-0043269:regulation of ion transport	12.347	KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	4.111
Node 10	GO-BP-0008654:phospholipid biosynthetic process	12.347	KEGG-Module-M00034: Methionine salvage pathway	3.699
Node 10	GO-BP-0002047:phenazine biosynthetic process	11.256	KEGG-Pathway-pae00590: Arachidonic acid metabolism - Pseudomonas aeruginosa PAO1	3.69
Node 10	GO-BP-0017000:antibiotic biosynthetic process	11.256	KEGG-Pathway-pae00910: Nitrogen metabolism - Pseudomonas aeruginosa PAO1	3.503
Node 10	GO-BP-0071705:nitrogen compound transport	10.231	KEGG-Pathway-pae00561: Glycerolipid metabolism - Pseudomonas aeruginosa PAO1	3.362
Node 11	GO-MF-0005515:protein binding	28.094	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	14.042
Node 11	GO-BP-0030254:protein secretion by the type III secretion system	23.571	KEGG-Module-M00178: Ribosome, bacteria	10.131
Node 11	GO-BP-0042219:cellular modified amino acid catabolic process	18.853	KEGG-Module-M00210: Putative ABC transport system	9.328
Node 11	GO-BP-0031455:glycine betaine metabolic process	18.726	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	7.632
Node 11	GO-BP-0031457:glycine betaine catabolic process	18.726	KEGG-Module-M00335: Sec (secretion) system	7.016
Node 11	GO-BP-0009991:response to extracellular stimulus	18.726	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.648
Node 11	GO-BP-0009267:cellular response to starvation	18.726	KEGG-Pathway-pae00564: Glycerophospholipid metabolism - Pseudomonas aeruginosa PAO1	4.271
Node 11	GO-BP-0042594:response to starvation	18.726	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	4.004
Node 11	GO-BP-0071496:cellular response to external stimulus	18.726	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	3.737
Node 11	GO-BP-0031668:cellular response to extracellular stimulus	18.726	KEGG-Module-M00034: Methionine salvage pathway	3.727
Node 12	GO-BP-0042120:alginic acid metabolic process	90.062	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	40.152
Node 12	GO-BP-0042121:alginic acid biosynthetic process	75.611	KEGG-Module-M00436: Sulfonate transport system	14.381
Node 12	GO-BP-0006536:glutamate metabolic process	13.281	KEGG-Module-M00190: Iron(III) transport system	13.281
Node 12	GO-BP-0043648:dicarboxylic acid metabolic process	13.281	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	13.281
Node 12	GO-BP-0044264:cellular polysaccharide metabolic process	11.213	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	13.281
Node 12	GO-BP-0044262:cellular carbohydrate metabolic process	10.762	KEGG-Module-M00237: Branched-chain amino acid transport system	11.461
Node 12	GO-BP-0016053:organic acid biosynthetic process	10.31	KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	10.496
Node 12	GO-BP-0046394:carboxylic acid biosynthetic process	10.31	KEGG-Module-M00299: Spermidine/putrescine transport system	10.027
Node 12	GO-BP-0044283:small molecule biosynthetic process	10.31	KEGG-Module-M00328: Hemophore/metalloprotease transport system	9.958
Node 12	GO-BP-0010954:positive regulation of protein processing	9.958	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	8.563
Node 13	GO-MF-0005515:protein binding	73.268	KEGG-Module-M00324: Dipeptide transport system	45.944
Node 13	GO-BP-0030254:protein secretion by the type III secretion system	22.963	KEGG-Module-M00230: Glutamate/aspartate transport system	27.375
Node 13	GO-BP-0050709:negative regulation of protein secretion	18.428	KEGG-Module-M00332: Type III secretion system	18.613
Node 13	GO-BP-0051048:negative regulation of secretion	18.428	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	18.247
Node 13	GO-BP-0051224:negative regulation of protein transport	18.428	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	12.122
Node 13	GO-BP-0060341:regulation of cellular localization	11.048	KEGG-Module-M00436: Sulfonate transport system	9.146
Node 13	GO-BP-0050708:regulation of protein secretion	11.048	KEGG-Module-M00236: Putative polar amino acid transport system	7.599
Node 13	GO-BP-0051046:regulation of secretion	11.048	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	7.271
Node 13	GO-BP-0032880:regulation of protein localization	11.048	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	6.165
Node 13	GO-BP-0070201:regulation of establishment of protein localization	11.048	KEGG-Module-M00299: Spermidine/putrescine transport system	6.075
Node 14	GO-BP-1900407:regulation of cellular response to oxidative stress	30.12	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	5.71
Node 14	GO-BP-0080135:regulation of cellular response to stress	20.076	KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	5.467
Node 14	GO-BP-0080134:regulation of response to stress	16.116	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	4.98
Node 14	GO-BP-1902882:regulation of response to oxidative stress	15.054	KEGG-Module-M00230: Glutamate/aspartate transport system	4.98
Node 14	GO-MF-0000156:phosphorelay response regulator activity	13.333	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	4.98
Node 14	GO-BP-0043269:regulation of ion transport	13.333	KEGG-Pathway-pae00300: Lysine biosynthesis - Pseudomonas aeruginosa PAO1	4.293
Node 14	GO-MF-0005057:receptor signaling protein activity	13.333	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	3.995
Node 14	GO-BP-0032101:regulation of response to external stimulus	13.333	KEGG-Module-M00242: Zinc transport system	3.983
Node 14	GO-BP-0034599:cellular response to oxidative stress	12.041	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	3.983
Node 14	GO-BP-0048583:regulation of response to stimulus	10.067	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	3.319
Node 15	GO-MF-0005515:protein binding	30.24	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	16.181
Node 15	GO-BP-0030254:protein secretion by the type III secretion system	25.385	KEGG-Module-M00332: Type III secretion system	13.006
Node 15	GO-BP-0042120:alginic acid metabolic process	15.902	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	8.029
Node 15	GO-BP-0042121:alginic acid biosynthetic process	15.278	KEGG-Module-M00324: Dipeptide transport system	8.029
Node 15	GO-BP-0050709:negative regulation of protein secretion	14.497	KEGG-Pathway-pae00051: Fructose and mannose metabolism - Pseudomonas aeruginosa PAO1	7.797
Node 15	GO-BP-0051048:negative regulation of secretion	14.497	KEGG-Pathway-pae00350: Tyrosine metabolism - Pseudomonas aeruginosa PAO1	5.806
Node 15	GO-BP-0051224:negative regulation of protein transport	14.497	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	5.733
Node 15	GO-BP-0006527:arginine catabolic process	13.481	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa PAO1	5.015
Node 15	GO-MF-0090484:drug transporter activity	13.387	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	5.015
Node 15	GO-BP-0010038:response to metal ion	12.089	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	5
Node 16	GO-BP-0007155:cell adhesion	16.01	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	42.883
Node 16	GO-BP-0006536:glutamate metabolic process	14.177	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	32.412
Node 16	GO-BP-0043648:dicarboxylic acid metabolic process	14.177	KEGG-Module-M00328: Hemophore/metalloprotease transport system	21.351
Node 16	GO-MF-0090484:drug transporter activity	14.177	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	21.351
Node 16	GO-BP-0032101:regulation of response to external stimulus	14.177	KEGG-Module-M00335: Sec (secretion) system	17.927
Node 16	GO-BP-0022610:biological adhesion	12.806	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	15.363
Node 16	GO-MF-0008233:peptidase activity	10.669	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	10.788
Node 16	GO-BP-0051248:negative regulation of protein metabolic process	10.631	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	7.084
Node 16	GO-BP-0072330:monocarboxylic acid biosynthetic process	10.631	KEGG-Pathway-pae00750: Vitamin B6 metabolism - Pseudomonas aeruginosa PAO1	6.071
Node 16	GO-MF-0016853:isomerase activity	8.503	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	6.071
Node 17	GO-BP-0009991:response to extracellular stimulus	18.449	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	75.129
Node 17	GO-BP-0009267:cellular response to starvation	18.449	KEGG-Module-M00185: Sulfate transport system	74.085
Node 17	GO-BP-0042594:response to starvation	18.449	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	37.035
Node 17	GO-BP-0071496:cellular response to external stimulus	18.449	KEGG-Module-M00616: Sulfate-sulfur assimilation	26.186
Node 17	GO-BP-0031668:cellular response to extracellular stimulus	18.449	KEGG-Module-M00436: Sulfonate transport system	26.186
Node 17	GO-BP-0031669:cellular response to nutrient levels	18.449	KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	19.139
Node 17	GO-BP-0031667:response to nutrient levels	18.449	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	18.511
Node 17	GO-MF-0008270:zinc ion binding	12.256	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	18.449
Node 17	GO-BP-0009057:macromolecule catabolic process	12.256	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	13.834
Node 17	GO-MF-0046872:metal ion binding	9.191	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	12.256
Node 18	GO-BP-0008300:isoprenoid catabolic process	52.047	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	20.807
Node 18	GO-BP-0044242:cellular lipid catabolic process	34.692	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	20.807
Node 18	GO-BP-0016042:lipid catabolic process	34.692	KEGG-Pathway-pae00364: Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1	15.486
Node 18	GO-BP-0006720:isoprenoid metabolic process	34.692	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	15.486
Node 18	GO-MF-0005515:protein binding	30.984	KEGG-Pathway-pae00361: Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1	13.715
Node 18	GO-MF-0016874:ligase activity	15.486	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	13.715
Node 18	GO-CC-0031975:envelope	13.715	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	13.331
Node 18	GO-CC-0030313:cell envelope	13.715	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	11.839
Node 18	GO-CC-0030312:external encapsulating structure	13.715	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1	10.101
Node 18	GO-CC-0071944:cell periphery	13.715	KEGG-Module-M00254: ABC-2 type transport system	7.737
Node 19	GO-BP-0072330:monocarboxylic acid biosynthetic process	17.726	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 19	GO-BP-0065008:regulation of biological quality	13.292	KEGG-Module-M00237: Branched-chain amino acid transport system	48.082
Node 19	GO-BP-0042592:homeostatic process	13.292	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	11.778
Node 19	GO-MF-0022891:substrate-specific transmembrane transporter activity	11.851	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	8.858
Node 19	GO-MF-0015075:ion transmembrane transporter activity	11.851	KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa PAO1	5.919
Node 19	GO-MF-0008324:cation transmembrane transporter activity	11.851	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	5.886
Node 19	GO-MF-0015077:monovalent inorganic cation transmembrane transporter activity	10.632	KEGG-Module-M00236: Putative polar amino acid transport system	4.682
Node 19	GO-MF-0004129:cytochrome-c oxidase activity	10.632	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	4.401
Node 19	GO-MF-0016675:oxidoreductase activity, acting on a heme group of donors	10.632	KEGG-Module-M00190: Iron(III) transport system	4.401
Node 19	GO-MF-0016676:oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	10.632	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	4.401
Node 20	GO-BP-0042120:alginic acid metabolic process	61.337	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	17.439
